Class,Accuracy,Precision,Recall,F1 Score,Epoch
0,0.9993,0.9959225280326198,0.996938775510204,0.9964303926568078,1
1,0.9991,0.9947275922671354,0.9973568281938326,0.9960404751429829,1
2,0.9989,0.997078870496592,0.9922480620155039,0.9946576007770762,1
3,0.9989,0.9930898321816387,0.996039603960396,0.9945625308947109,1
4,0.9986,0.9928716904276986,0.9928716904276986,0.9928716904276986,1
5,0.9981,0.9877094972067039,0.9910313901345291,0.9893676552881924,1
6,0.9985,0.9947534102833159,0.9895615866388309,0.9921507064364208,1
7,0.9979,0.983669548511047,0.9961089494163424,0.9898501691638473,1
8,0.9987,0.9958720330237358,0.9907597535934292,0.993309315491508,1
9,0.9976,0.9920079920079921,0.9841427155599604,0.9880597014925374,1
0,0.9992,0.9969325153374233,0.9948979591836735,0.9959141981613893,2
1,0.9986,0.988666085440279,0.9991189427312775,0.9938650306748466,2
2,0.9986,0.9932170542635659,0.9932170542635659,0.9932170542635659,2
3,0.9988,0.9950396825396826,0.9930693069306931,0.9940535183349851,2
4,0.9986,0.9908722109533469,0.994908350305499,0.9928861788617888,2
5,0.9984,0.9888392857142857,0.9932735426008968,0.9910514541387024,2
6,0.9986,0.9937238493723849,0.9916492693110647,0.9926854754440961,2
7,0.9974,0.9864077669902913,0.9883268482490273,0.9873663751214772,2
8,0.9989,0.9918283963227783,0.9969199178644764,0.9943676395289299,2
9,0.9975,0.9979757085020243,0.977205153617443,0.9874812218327491,2
0,0.9993,0.9959225280326198,0.996938775510204,0.9964303926568078,3
1,0.999,0.9938542581211589,0.9973568281938326,0.9956024626209323,3
2,0.9983,0.9912875121006777,0.9922480620155039,0.991767554479419,3
3,0.9988,0.9930830039525692,0.995049504950495,0.9940652818991097,3
4,0.9991,0.9969356486210419,0.9938900203665988,0.9954105048444671,3
5,0.9986,0.9899553571428571,0.9943946188340808,0.9921700223713646,3
6,0.9988,0.9947698744769874,0.9926931106471816,0.9937304075235108,3
7,0.9972,0.9835589941972921,0.9892996108949417,0.9864209505334627,3
8,0.9987,0.9968976215098242,0.9897330595482546,0.9933024214322514,3
9,0.998,0.9930209371884346,0.9871159563924677,0.9900596421471172,3
0,0.9984,0.9888438133874239,0.9948979591836735,0.9918616480162766,4
1,0.9989,0.9938488576449912,0.9964757709251101,0.9951605807303123,4
2,0.9985,0.9951314508276533,0.9903100775193798,0.9927149101505586,4
3,0.9983,0.996003996003996,0.9871287128712871,0.991546494281452,4
4,0.999,0.9959183673469387,0.9938900203665988,0.9949031600407746,4
5,0.9976,0.9779735682819384,0.9955156950672646,0.9866666666666667,4
6,0.998,0.9926470588235294,0.9864300626304802,0.9895287958115183,4
7,0.9975,0.9836065573770492,0.9922178988326849,0.9878934624697336,4
8,0.9984,0.9907786885245902,0.9928131416837782,0.9917948717948718,4
9,0.998,0.9969849246231156,0.9831516352824579,0.9900199600798404,4
0,0.9993,0.9969356486210419,0.9959183673469387,0.9964267483409903,5
1,0.9992,0.9964757709251101,0.9964757709251101,0.9964757709251101,5
2,0.9986,0.9941747572815534,0.9922480620155039,0.9932104752667313,5
3,0.9984,0.9901380670611439,0.994059405940594,0.9920948616600791,5
4,0.9988,0.9948979591836735,0.9928716904276986,0.9938837920489296,5
5,0.9984,0.9910313901345291,0.9910313901345291,0.9910313901345291,5
6,0.9986,0.9916666666666667,0.9937369519832986,0.9927007299270073,5
7,0.9981,0.9883833494675702,0.9931906614785992,0.9907811741872878,5
8,0.9991,0.9979360165118679,0.9928131416837782,0.9953679876479671,5
9,0.9985,0.9930555555555556,0.9920713577799801,0.9925632126921169,5
0,0.9992,0.9979508196721312,0.9938775510204082,0.9959100204498978,6
1,0.9992,0.9964757709251101,0.9964757709251101,0.9964757709251101,6
2,0.9984,0.9903474903474904,0.9941860465116279,0.9922630560928433,6
3,0.9984,0.9901380670611439,0.994059405940594,0.9920948616600791,6
4,0.9988,0.9948979591836735,0.9928716904276986,0.9938837920489296,6
5,0.998,0.9855233853006682,0.992152466367713,0.9888268156424582,6
6,0.9987,0.9927007299270073,0.9937369519832986,0.9932185706833594,6
7,0.9975,0.9845410628019323,0.9912451361867705,0.9878817256422686,6
8,0.9988,0.9958762886597938,0.9917864476386037,0.993827160493827,6
9,0.9976,0.9939819458375125,0.9821605550049554,0.988035892323031,6
0,0.9991,0.9969293756397134,0.9938775510204082,0.9954011241696475,7
1,0.9993,0.9956063268892794,0.9982378854625551,0.9969203695556533,7
2,0.9986,0.9941747572815534,0.9922480620155039,0.9932104752667313,7
3,0.9985,0.9920870425321464,0.9930693069306931,0.9925779317169718,7
4,0.9989,0.9938962360122076,0.994908350305499,0.9944020356234097,7
5,0.9982,0.9899103139013453,0.9899103139013453,0.9899103139013453,7
6,0.9988,0.9937369519832986,0.9937369519832986,0.9937369519832986,7
7,0.9976,0.9826923076923076,0.9941634241245136,0.988394584139265,7
8,0.999,0.9979338842975206,0.9917864476386037,0.9948506694129763,7
9,0.9982,0.9940179461615155,0.9881070366699702,0.9910536779324055,7
0,0.9987,0.9948822927328557,0.9918367346938776,0.9933571793561574,8
1,0.999,0.9912663755458515,1.0,0.9956140350877193,8
2,0.999,0.996116504854369,0.9941860465116279,0.9951503394762367,8
3,0.999,0.996031746031746,0.994059405940594,0.9950445986124875,8
4,0.9987,0.9948927477017364,0.9918533604887984,0.9933707292197858,8
5,0.9986,0.9888641425389755,0.9955156950672646,0.9921787709497207,8
6,0.9984,0.9896049896049897,0.9937369519832986,0.9916666666666667,8
7,0.9983,0.9922103213242454,0.9912451361867705,0.9917274939172749,8
8,0.999,0.9958847736625515,0.9938398357289527,0.9948612538540595,8
9,0.9979,0.9930139720558883,0.9861248761149654,0.989557434112382,8
0,0.9993,0.9969356486210419,0.9959183673469387,0.9964267483409903,9
1,0.9992,0.9938650306748467,0.9991189427312775,0.9964850615114236,9
2,0.9987,0.9970731707317073,0.9903100775193798,0.9936801166747691,9
3,0.9986,0.9940476190476191,0.9920792079207921,0.9930624380574826,9
4,0.9991,0.9959225280326198,0.994908350305499,0.9954151808456444,9
5,0.9988,0.9921700223713646,0.9943946188340808,0.9932810750279955,9
6,0.9989,0.9927159209157128,0.9958246346555324,0.9942678478374154,9
7,0.998,0.9864864864864865,0.9941634241245136,0.9903100775193799,9
8,0.9994,0.9979423868312757,0.9958932238193019,0.9969167523124358,9
